Player,Pos,G,GS,MP,TRB,AST,STL,BLK,TOV,PTS,Salary
Tristan Thompson,C,53,22,20.2,6.6,0.6,0.3,0.3,0.7,5.8,16400000
Sindarius Thornwell,SG,73,17,15.8,1.9,0.9,0.7,0.3,0.7,3.9,815615
Anthony Tolliver,PF,79,14,22.2,3.1,1.1,0.4,0.3,0.7,8.9,5290000
Karl-Anthony Towns,C,82,82,35.6,12.3,2.4,0.8,1.4,1.9,21.3,6216840
Evan Turner,SF,79,40,25.7,3.1,2.2,0.6,0.4,1.3,8.2,17131148
Myles Turner,C,65,62,28.2,6.4,1.3,0.6,1.8,1.5,12.7,2483040
Ekpe Udoh,C,63,3,12.9,2.4,0.8,0.7,1.2,0.3,2.6,3200000
Tyler Ulis,PG,71,43,23.4,1.8,4.4,1,0.1,1.8,7.8,1312611
Denzel Valentine,SG,77,37,27.2,5.1,3.2,0.8,0.1,1.3,10.2,2186400
Fred VanVleet,PG,76,0,20,2.4,3.2,0.9,0.3,1,8.6,1312611
Rashad Vaughn,SG,28,0,7.6,0.8,0.5,0.2,0.1,0.2,2.3,2338653
Noah Vonleh,PF,54,16,16.2,5.8,0.6,0.4,0.3,0.6,4.9,4031018
Dwyane Wade,SG,67,3,22.9,3.8,3.4,0.9,0.7,2.1,11.4,17878652
Dion Waiters,SG,30,30,30.6,2.6,3.8,0.8,0.3,2.3,14.3,12100000
Kemba Walker,PG,80,80,34.2,3.1,5.6,1.1,0.3,2.2,22.1,12000000
John Wall,PG,41,41,34.4,3.7,9.6,1.4,1.1,3.9,19.4,18063850
Tyrone Wallace,PG,30,19,28.4,3.5,2.4,0.9,0.4,1.5,9.7,77250
